Country,Region,Happiness.Score,Log.GDP,Social.support,Life.Expectancy,Freedom.Choices,Generosity,Perceptions.Corruption
Montenegro,Europe,5.54610013961792,9.75186061859131,0.855314612388611,68.5053482055664,0.649565637111664,-0.0756003558635712,0.783121585845947
Russia,Commonwealth of Independent States,5.5460000038147,10.1288719177246,0.903150737285614,64.100456237793,0.729892611503601,-0.151153743267059,0.864802598953247
Kyrgyzstan,Commonwealth of Independent States,5.54150009155273,8.14840507507324,0.887228488922119,64.1060104370117,0.909374892711639,0.154772058129311,0.888396084308624
Belarus,Commonwealth of Independent States,5.5398998260498,9.77994537353516,0.906747460365295,66.1043319702148,0.639163076877594,-0.164926543831825,0.635711669921875
North Cyprus,Europe,5.53550004959106,10.4057025909424,0.820356607437134,73.7022247314453,0.795293509960175,0.000227158525376581,0.626115679740906
Greece,Europe,5.5149998664856,10.1323261260986,0.814380347728729,72.4052581787109,0.541345119476318,-0.300907373428345,0.859931409358978
Hong Kong S.A.R. of China,Southern and Eastern Asia,5.51039981842041,10.9346714019775,0.845969080924988,76.7717056274414,0.779833793640137,0.134979903697968,0.420607209205627
Croatia,Europe,5.50470018386841,10.0708751678467,0.874623715877533,70.2149047851562,0.714838802814484,-0.128538325428963,0.916495263576508
Libya,Middle East and Africa,5.48880004882812,9.78981590270996,0.825942933559418,62.2999992370605,0.773157000541687,-0.085054486989975,0.668779134750366
Mongolia,Southern and Eastern Asia,5.45620012283325,9.41218662261963,0.937142491340637,62.3044853210449,0.693351328372955,0.0980938673019409,0.863511204719543
Malaysia,Southern and Eastern Asia,5.38430023193359,10.2625188827515,0.816509425640106,67.1021575927734,0.89462685585022,0.114726796746254,0.83930230140686
Vietnam,Southern and Eastern Asia,5.35349988937378,8.80954551696777,0.849987149238586,67.9527359008789,0.939592957496643,-0.0945333316922188,0.796421229839325
Indonesia,Southern and Eastern Asia,5.28560018539429,9.36975193023682,0.808379888534546,62.1558494567871,0.870614409446716,0.519586503505707,0.876296401023865
Ivory Coast,Middle East and Africa,5.23330020904541,8.22556114196777,0.658048689365387,49.5037727355957,0.727909326553345,-0.0439911559224129,0.790771961212158
Benin,Middle East and Africa,5.21600008010864,7.67431974411011,0.468671143054962,54.3124656677246,0.735182583332062,-0.00353721273131669,0.740532577037811
Maldives,Southern and Eastern Asia,5.1975998878479,9.51863288879395,0.913160920143127,70.5999984741211,0.853962779045105,0.0380854979157448,0.824211061000824
Congo (Brazzaville),Middle East and Africa,5.1943998336792,8.5369873046875,0.640228092670441,57.9244804382324,0.719058513641357,-0.123674094676971,0.751779079437256
Azerbaijan,Commonwealth of Independent States,5.16480016708374,9.6877269744873,0.819308280944824,65.5083999633789,0.786824107170105,-0.240255281329155,0.552537560462952
Macedonia,Europe,5.15980005264282,9.51059150695801,0.820392310619354,67.5044250488281,0.738840937614441,-0.0198774505406618,0.897490501403809
Ghana,Middle East and Africa,5.14799976348877,8.35064506530762,0.728601098060608,57.203987121582,0.794796526432037,0.0941708534955978,0.847964763641357
Nepal,Southern and Eastern Asia,5.13719987869263,7.92535734176636,0.785512447357178,63.7791786193848,0.797565042972565,0.154168829321861,0.738099157810211
Turkey,Middle East and Africa,5.13180017471313,10.1294193267822,0.826313555240631,66.9028167724609,0.608830451965332,-0.171046435832977,0.748197376728058
China,Southern and Eastern Asia,5.12389993667603,9.68856811523438,0.798760592937469,69.289192199707,0.898517906665802,-0.181425750255585,0.753971099853516
Turkmenistan,Commonwealth of Independent States,5.11910009384155,9.74803256988525,0.958966195583344,62.2117080688477,0.826457023620605,0.187671542167664,0.883691847324371
Bulgaria,Europe,5.10150003433228,9.86931896209717,0.937840342521667,66.8039779663086,0.745178163051605,-0.143908441066742,0.935585141181946
Morocco,Middle East and Africa,5.09479999542236,8.9403133392334,0.592628479003906,65.896240234375,0.772072434425354,-0.240377247333527,0.815724611282349
Cameroon,Middle East and Africa,5.08489990234375,8.11864757537842,0.70038640499115,52.7049407958984,0.763051807880402,-0.00149645039346069,0.851336598396301
Venezuela,Americas,5.05319976806641,8.97779369354248,0.890408158302307,66.5053405761719,0.623278319835663,-0.169090509414673,0.837038397789001
Algeria,Middle East and Africa,5.00509977340698,9.53796482086182,0.803385138511658,65.9051742553711,0.466610908508301,-0.121105164289474,0.735485136508942
Senegal,Middle East and Africa,4.98080015182495,8.11898231506348,0.723616003990173,59.5991516113281,0.690596163272858,-0.0523351542651653,0.808785140514374
Guinea,Middle East and Africa,4.94929981231689,7.75099039077759,0.637573480606079,54.4678001403809,0.70684677362442,0.0763284713029861,0.761794447898865
Niger,Middle East and Africa,4.90959978103638,6.84216690063477,0.617435038089752,53.5000953674316,0.759772121906281,0.0138608170673251,0.7225301861763
Laos,Southern and Eastern Asia,4.88859987258911,8.79858016967773,0.737502217292786,58.7099227905273,0.907213568687439,0.111371479928493,0.634679317474365
Albania,Europe,4.88269996643066,9.41793060302734,0.671070456504822,68.708137512207,0.781994223594666,-0.0423094891011715,0.896303713321686
Cambodia,Southern and Eastern Asia,4.8484001159668,8.24989032745361,0.77308064699173,61.5299682617188,0.959704637527466,0.0519111789762974,0.822769045829773
Bangladesh,Southern and Eastern Asia,4.83279991149902,8.28706359863281,0.687292993068695,64.5030670166016,0.900624990463257,-0.0336647257208824,0.661843538284302
Gabon,Middle East and Africa,4.82929992675781,9.68053722381592,0.78788685798645,59.7153396606445,0.704829216003418,-0.222261622548103,0.849150955677032
South Africa,Middle East and Africa,4.81409978866577,9.40337085723877,0.852532267570496,56.5060119628906,0.759330093860626,-0.109777323901653,0.843423843383789
Iraq,Middle East and Africa,4.78480005264282,9.66109561920166,0.747694969177246,59.9035491943359,0.633182644844055,-0.0695647597312927,0.822261810302734
Lebanon,Middle East and Africa,4.77150011062622,9.36172389984131,0.824338138103485,67.1065826416016,0.551357507705688,-0.0612152703106403,0.90225625038147
Burkina Faso,Middle East and Africa,4.76870012283325,7.46854496002197,0.712943613529205,53.8894538879395,0.665563583374023,-0.0190805159509182,0.739795029163361
Gambia,Middle East and Africa,4.75059986114502,7.32181453704834,0.693168699741364,55.0120162963867,0.733163177967072,0.343198716640472,0.690717816352844
Mali,Middle East and Africa,4.72930002212524,7.62985229492188,0.731468975543976,51.7269821166992,0.711566150188446,-0.0443669259548187,0.839328408241272
Nigeria,Middle East and Africa,4.72410011291504,8.57662487030029,0.737216889858246,49.8619079589844,0.75957840681076,0.0337458066642284,0.861874341964722
Armenia,Commonwealth of Independent States,4.67679977416992,9.10047626495361,0.757479429244995,66.7506561279297,0.712017834186554,-0.138779610395432,0.773544788360596
Georgia,Commonwealth of Independent States,4.67259979248047,9.22610092163086,0.629033029079437,64.4952087402344,0.801641523838043,-0.228920370340347,0.665944695472717
Iran,Middle East and Africa,4.67239999771118,9.81371974945068,0.694689691066742,66.0061492919922,0.647873282432556,0.117891103029251,0.714635968208313
Jordan,Middle East and Africa,4.63339996337891,9.02599906921387,0.80216372013092,66.7997512817383,0.751047790050507,-0.16256520152092,0.700344324111938
Mozambique,Middle East and Africa,4.62360000610352,7.06934595108032,0.723874032497406,54.2058219909668,0.864451885223389,0.0323758684098721,0.68301910161972
Kenya,Middle East and Africa,4.58300018310547,8.02977561950684,0.702652037143707,60.0969314575195,0.829747557640076,0.294681519269943,0.83149915933609
